iter	RMSE
0	640.9011424
1	613.8420683
2	589.2122615
3	568.3043504
4	550.1569391
5	533.4426929
6	521.7136007
7	512.334617
8	501.1613231
9	491.3414974
10	484.2285152
11	476.5586894
12	469.3568318
13	464.5159563
14	460.8790998
15	454.8618027
16	450.9652783
17	446.7643875
18	443.2923856
19	440.6048252
20	435.8495774
21	432.9772618
22	429.5053677
23	427.2363902
24	424.954961
25	422.8337796
26	420.6920478
27	419.067424
28	417.5311835
29	415.5291752
30	413.9861106
31	411.3731598
32	409.8047723
33	406.6785016
34	404.169874
35	402.7505234
36	400.3675896
37	398.3110766
38	394.4331291
39	393.0087485
40	391.8303936
41	388.6840309
42	386.101987
43	384.5856893
44	382.1592067
45	380.9912243
46	380.0927954
47	378.9940022
48	377.1439283
49	375.0933774
50	374.4976316
51	373.8553361
52	373.1409302
53	372.6001804
54	371.4408536
55	370.9998051
56	370.2312841
57	368.2399266
58	367.0113279
59	366.6792728
60	365.2026019
61	364.3976338
62	363.9341759
63	362.3264494
64	361.8868429
65	360.983075
66	360.6062004
67	360.3961006
68	360.1007217
69	359.9596342
70	358.6712789
71	357.579759
72	357.207978
73	356.7714397
74	355.9290423
75	354.6670065
76	354.1261143
77	353.782572
78	353.4641819
79	351.9074756
80	350.39069
81	350.2282199
82	349.7515216
83	348.851293
84	348.6978503
85	348.514078
86	348.2942497
87	347.8330275
88	347.655686
89	347.1049372
90	346.6355119
91	346.0532355
92	345.2683187
93	345.0429094
94	344.8161101
95	344.3585206
96	344.2303234
97	343.9975737
98	343.5734012
99	342.8475684
