iter	Passed	Remaining
0	31	3121
1	41	2018
2	45	1462
3	58	1405
4	81	1540
5	89	1408
6	112	1497
7	122	1404
8	131	1325
9	138	1242
10	144	1165
11	150	1103
12	162	1087
13	198	1221
14	208	1183
15	259	1362
16	287	1401
17	294	1343
18	301	1286
19	306	1224
20	312	1176
21	320	1134
22	326	1094
23	336	1067
24	351	1053
25	361	1028
26	368	997
27	381	982
28	391	959
29	400	935
30	406	904
31	414	881
32	421	856
33	427	830
34	434	806
35	442	787
36	455	775
37	506	826
38	543	849
39	555	833
40	561	807
41	568	785
42	577	766
43	588	748
44	594	726
45	627	736
46	634	715
47	645	699
48	673	701
49	681	681
50	755	726
51	763	705
52	769	682
53	776	661
54	783	640
55	787	618
56	792	598
57	800	579
58	807	561
59	830	553
60	837	535
61	846	518
62	856	502
63	869	489
64	877	472
65	889	457
66	895	440
67	908	427
68	918	412
69	933	400
70	948	387
71	957	372
72	979	362
73	988	347
74	995	331
75	1003	316
76	1035	309
77	1051	296
78	1068	283
79	1077	269
80	1123	263
81	1145	251
82	1164	238
83	1176	224
84	1183	208
85	1188	193
86	1194	178
87	1220	166
88	1226	151
89	1237	137
90	1244	123
91	1250	108
92	1254	94
93	1257	80
94	1262	66
95	1266	52
96	1271	39
97	1277	26
98	1284	12
99	1290	0
